Unique_ID,Manual_Art_Style
my master's birthday (2017) [unknown],Stylization: Cartoon
crazy appliances (2018) [unknown],Stylization: Pixel Art
tomai (2019) [darkchibishadow],Stylization: Illustrative
枝江往事 (2021) [unknown],Stylization: Cartoon
ashland dossier (2022) [unknown],Stylization: Cartoon
merge & blade: puppy charater (2023) [unknown],Stylization: Pixel Art
pdp 10 timesharing basketball (1967) [unknown],Abstraction: Symbolic
civil war (1968) [unknown],Abstraction: Symbolic
galaxy game (1971) [ea],Abstraction: Minimalist
table tennis (1972) [magnavox],Abstraction: Minimalist
basketball (1973) (1973) [magnavox],Abstraction: Minimalist
wheels (1974) [taito],Abstraction: Minimalist
the dungeon (1975) [reginald rutherford],Abstraction: Minimalist
colossal cave adventure (1976) [will crowther],Abstraction: Symbolic
air/sea attack (1977) [atari],Stylization: Pixel Art
sprint one (1978) [atari],Stylization: Pixel Art
showdown in 2100 a.d. (1979) [unknown],Stylization: Pixel Art
house of usher (1980) [unknown],Stylization: Pixel Art
cranston manor (1981) [on-line systems],Stylization: Pixel Art
rescue terra i (1982) [venturevision],Stylization: Pixel Art
frenzy (1983) [ea],Stylization: Pixel Art
hole land (1984) [tecfri],Stylization: Pixel Art
international hockey (1985) [superior quality software],Stylization: Pixel Art
argus (1986) [nmk co. ltd.],Stylization: Pixel Art
rapid fire (1987) [icon design ltd.],Stylization: Pixel Art
torch 2081 (1988) [digital concepts],Stylization: Pixel Art
el capitán trueno (1989) [zeus software],Stylization: Pixel Art
magic carpet 1001 (1991) [mega soft],Stylization: Pixel Art
congo's caper (1992) [ea],Stylization: Pixel Art
j. j. squawkers (1993) [athena],Stylization: Cartoon
akira (1994) [ea],Stylization: Pixel Art
macaroni houren-sou interactive (1995) [unknown],Stylization: Cartoon
zoku gussun oyoyo (1996) [now production],Stylization: Cartoon
mario net quest (1997) [c3 incorporated],Stylization: Cartoon
bomberman quest (1998) [eleven],Stylization: Pixel Art
densha de go! nagoya tetsudou-hen (2000) [taito gm r&d sect. #2],Realism: Stylized
tribes 2 (2001) [loki software],Realism: Stylized
computer space (1971) [atari],Abstraction: Symbolic
freeway crossing program (1971) [michael irrgang],Abstraction: Symbolic
pong (1972) [atari],Abstraction: Minimalist
baseball (1972) [magnavox],Abstraction: Minimalist
haunted house (1972) [magnavox],Stylization: Illustrative
space race (1973) [atari],Abstraction: Minimalist
touch me (1974) [atari],Abstraction: Minimalist
spike (1974) [kee games],Abstraction: Minimalist
world cup football (1974) [atari],Abstraction: Minimalist
wander (1974) [peter langston],Abstraction: Symbolic
quadrapong (1974) [kee games],Abstraction: Minimalist
airfight (1974) [unknown],Abstraction: Minimalist
super pong (1974) [atari],Abstraction: Minimalist
wipe out (1974) [ramtek],Abstraction: Minimalist
clean sweep (1974) [ramtek],Abstraction: Minimalist
pin pong (1974) [atari],Abstraction: Minimalist
"oxo (1952) [alexander shafto ""sandy"" douglas],Abstraction: Symbolic"
trek73 (1973) [unknown],Abstraction: Symbolic
pong doubles (1973) [atari],Abstraction: Minimalist
laser clay shooting system (1973) [nintendo],Realism: Photoreal
gran trak 10 (1974) [atari],Abstraction: Minimalist
star trader (1974) [people's computer company],Abstraction: Symbolic
rebound (1974) [atari],Abstraction: Minimalist
tv basketball (1974) [taito],Stylization: Pixel Art
the game of dungeons (1975) [dirk pellett],Abstraction: Minimalist
videocart-1: tic-tac-toe & shooting gallery & doodle & quadra-doodle (1976) [fairchild semiconductor],Abstraction: Symbolic
videocart-2: desert fox & shooting gallery (1976) [fairchild semiconductor],Abstraction: Minimalist
sprint 2 (1976) [kee games],Abstraction: Minimalist
videocart-3: video blackjack (1976) [fairchild semiconductor],Abstraction: Minimalist
blackjack (1977) [atari],Abstraction: Symbolic
videocart-5: space war (1977) [fairchild semiconductor],Abstraction: Symbolic
pro golf (1979) [unknown],Stylization: Pixel Art
ripcord (1979) [exidy],Stylization: Pixel Art
avatar (1979) [andrew shapira],Abstraction: Symbolic
deep scan (1979) [gremlin industries],Stylization: Pixel Art
nfl football (1979) [aph technological consulting],Stylization: Pixel Art
las vegas poker & blackjack (1979) [aph technological consulting],Stylization: Pixel Art
olympic decathlon (1980) [unknown],Stylization: Pixel Art
pachinko! (1980) [magnavox],Stylization: Pixel Art
cyber strike (1980) [sirius software],Stylization: Pixel Art
terranean (1980) [ea],Stylization: Pixel Art
vermin (1980) [nintendo],Stylization: Cartoon
judge (1980) [nintendo],Stylization: Cartoon
flagman (1980) [nintendo],Stylization: Cartoon
mad alien (1980) [ea],Stylization: Pixel Art
soccer (1980) [philips semiconductors],Abstraction: Minimalist
sea duel (1980) [milton bradley],Abstraction: Minimalist
pairs / space rendezvous / logic (1980) [magnavox],Stylization: Pixel Art
indian battle (1980) [taito],Stylization: Pixel Art
maze craze: a game of cops 'n robbers (1980) [atari],Abstraction: Minimalist
star warrior (1980) [automated simulations],Stylization: Pixel Art
manhattan (1980) [unknown],Stylization: Pixel Art
kosmo killer (1980) [unknown],Stylization: Pixel Art
blockout! / breakdown! (1980) [magnavox],Abstraction: Minimalist
skiing (1980) [activision],Abstraction: Minimalist
boxing (1980) [activision],Abstraction: Minimalist
the wizard and the princess (1980) [on-line systems],Stylization: Pixel Art
star raiders (1980) [atari],Stylization: Pixel Art
donkey kong (1981) [ikegami tsushinki],Stylization: Pixel Art
scramble (1981) [konami],Stylization: Pixel Art
zork ii: the wizard of frobozz (1981) [infocom],Abstraction: Symbolic
zork iii: the dungeon master (1982) [infocom],Abstraction: Symbolic
donkey kong 3 (1983) [nintendo],Stylization: Pixel Art
james bond 007 (1983) [on time software],Stylization: Pixel Art
enchanter (1983) [infocom],Abstraction: Symbolic
king's quest: quest for the crown (1984) [sierra on-line],Stylization: Pixel Art
sorcerer (1984) [infocom],Abstraction: Symbolic
ballblazer (1985) [lucasfilm games],Stylization: Pixel Art
rescue on fractalus! (1985) [lucasfilm games],Realism: Stylized
where in the world is carmen sandiego? (1985) [brøderbund software],Stylization: Pixel Art
space quest: the sarien encounter (1986) [sierra on-line],Stylization: Pixel Art
king's quest iii: to heir is human (1986) [sierra on-line],Stylization: Pixel Art
phm pegasus (1987) [lucasfilm games],Stylization: Pixel Art
battlehawks 1942 (1988) [lucasfilm games],Stylization: Pixel Art
king's quest iv: the perils of rosella (1988) [sierra on-line],Stylization: Pixel Art
indiana jones and the last crusade: the graphic adventure (1989) [lucasfilm games],Stylization: Cartoon
the secret of monkey island (1990) [lucasfilm games],Stylization: Pixel Art
night shift (1990) [attention to detail],Stylization: Pixel Art
monkey island 2: lechuck's revenge (1991) [lucasarts],Stylization: Cartoon
secret weapons of the luftwaffe (1991) [lucasfilm games],Realism: Stylized
dune (1992) [cryo interactive],Stylization: Pixel Art
dune ii: the building of a dynasty (1992) [westwood studios],Stylization: Pixel Art
indiana jones and the fate of atlantis (1992) [lucasarts],Stylization: Pixel Art
syndicate (1993) [bullfrog productions],Stylization: Pixel Art
syndicate: american revolt (1993) [bullfrog productions],Stylization: Pixel Art
system shock (1994) [looking glass studios],Realism: Stylized
the elder scrolls: arena (1994) [bethesda softworks],Stylization: Pixel Art
jagged alliance (1995) [madlab software],Stylization: Pixel Art
space quest 6: the spinal frontier (1995) [sierra],Stylization: Cartoon
jagged alliance: deadly games (1996) [madlab software],Stylization: Pixel Art
syndicate wars (1996) [bullfrog productions],Stylization: Pixel Art
the elder scrolls ii: daggerfall (1996) [bethesda softworks],Stylization: Pixel Art
fallout: a post nuclear role playing game (1997) [black isle studios],Stylization: Cartoon
x-com: apocalypse (1997) [mythos games],Stylization: Cartoon
dungeon keeper (1997) [bullfrog productions],Stylization: Cartoon
thief: the dark project (1998) [looking glass studios],Realism: Stylized
baldur's gate (1998) [bioware],Realism: Stylized
fallout 2 (1998) [black isle studios],Stylization: Cartoon
jagged alliance 2 (1999) [sir-tech canada],Stylization: Cartoon
system shock 2 (1999) [irrational games],Realism: Stylized
dungeon keeper 2 (1999) [bullfrog productions],Stylization: Cartoon
thief ii: the metal age (2000) [looking glass studios],Stylization: Cartoon
baldur's gate ii: shadows of amn (2000) [bioware],Realism: Stylized
vampire: the masquerade - redemption (2000) [nihilistic software],Realism: Stylized
fallout tactics: brotherhood of steel (2001) [micro forté],Stylization: Cartoon
baldur's gate ii: throne of bhaal (2001) [bioware],Stylization: Cartoon
mafia (2002) [illusion softworks],Realism: Photoreal
the elder scrolls iii: morrowind (2002) [bethesda game studios],Realism: Stylized
the elder scrolls iii: tribunal (2002) [bethesda game studios],Realism: Stylized
max payne 2: the fall of max payne (2003) [remedy entertainment],Realism: Photoreal
deus ex: invisible war (2003) [ion storm],Realism: Stylized
the elder scrolls iii: bloodmoon (2003) [bethesda game studios],Realism: Stylized
thief: deadly shadows (2004) [ion storm],Realism: Stylized
vampire: the masquerade - bloodlines (2004) [troika games],Realism: Stylized
baldur's gate: dark alliance ii (2004) [black isle studios],Realism: Stylized
stubbs the zombie in rebel without a pulse (2005) [wideload games],Realism: Stylized
need for speed: most wanted (2005) [ea],Realism: Photoreal
devil may cry 3: dante's awakening (2005) [capcom],Realism: Stylized
the elder scrolls iv: oblivion (2006) [bethesda game studios],Realism: Stylized
need for speed: carbon (2006) [ea],Realism: Photoreal
star wars: empire at war (2006) [petroglyph games],Realism: Stylized
jade empire: special edition (2007) [bioware],Realism: Stylized
bioshock (2007) [2k australia],Realism: Stylized
overlord (2007) [4j studios],Stylization: Cartoon
fallout 3 (2008) [bethesda game studios],Realism: Stylized
dead space (2008) [ea],Realism: Stylized
overlord: raising hell (2008) [4j studios],Stylization: Cartoon
overlord ii (2009) [triumph studios],Stylization: Cartoon
overlord: dark legend (2009) [climax studios],Stylization: Cartoon
overlord: minions (2009) [climax studios],Stylization: Cartoon
fallout: new vegas (2010) [obsidian entertainment],Realism: Stylized
bioshock 2 (2010) [2k marin],Stylization: Cartoon
dead space 2 (2011) [visceral games],Realism: Stylized
deus ex: human revolution (2011) [eidos montréal],Realism: Stylized
portal 2 (2011) [valve],Realism: Stylized
mass effect 3 (2012) [bioware],Realism: Stylized
diablo iii (2012) [blizzard entertainment],Stylization: Cartoon
silent hill: downpour (2012) [vatra games],Realism: Stylized
the bureau: xcom declassified (2013) [2k marin],Realism: Stylized
metal gear rising: revengeance (2013) [platinumgames],Realism: Stylized
final fantasy xiv online (2013) [ea],Realism: Stylized
thief (2014) [eidos montréal],Realism: Stylized
prey 2 (2014) [ea],Realism: Stylized
wildstar (2014) [carbine studios],Stylization: Cartoon
starcraft ii: legacy of the void (2015) [blizzard entertainment],Stylization: Cartoon
prison architect (2015) [introversion software],Stylization: Cartoon
pillars of eternity (2015) [obsidian entertainment],Realism: Stylized
homefront: the revolution (2016) [deep silver dambuster studios],Realism: Photoreal
south park: the fractured but whole - amazon steel book edition (2017) [unknown],Stylization: Cartoon
airmech (2018) [carbon games],Stylization: Cartoon
agent (2018) [rockstar north],Realism: Stylized
return of the tentacle (2018) [catmic games],Stylization: Cartoon
cube world (2019) [picroma],Stylization: Pixel Art
space engineers (2019) [keen software house],Realism: Stylized
cyberpunk 2077 (2020) [cd projekt red],Realism: Photoreal
besiege (2020) [spiderling games],Stylization: Cartoon
crowfall (2021) [artcraft entertainment],Stylization: Cartoon
fate of the pharaoh (2021) [unknown],Stylization: Cartoon
frogs vs. storks (2021) [unknown],Stylization: Cartoon
"""anonymous;code"" (2022) [5pb.],Stylization: Cartoon"
asteroid miner (2022) [supersonic studios ltd],Stylization: Cartoon
antioch: scarlet bay (2022) [fibretigre],Stylization: Cartoon
