Year,Decade,Game,Screenshot,Genres,Themes,Keywords,Player Perspectives,Developers,C1_R,C1_G,C1_B,C2_R,C2_G,C2_B,C3_R,C3_G,C3_B,C4_R,C4_G,C4_B,C5_R,C5_G,C5_B
1978,1970,Speedway! / Spin-Out! / Crypto-Logic!,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sc78hi.jpg,Quiz/Trivia|Arcade,Action,,First person,Magnavox,260,260,260,220,110,210,200,20,180,240,50,120,160,90,220
1978,1970,Speedway! / Spin-Out! / Crypto-Logic!,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sc78hj.jpg,Quiz/Trivia|Arcade,Action,,First person,Magnavox,230,140,220,200,20,180,180,60,200,140,130,230,150,100,220
1978,1970,Speedway! / Spin-Out! / Crypto-Logic!,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sc78hk.jpg,Quiz/Trivia|Arcade,Action,,First person,Magnavox,200,20,180,230,130,210,180,60,200,140,120,230,150,100,220
1978,1970,Football,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\scqzz5.jpg,Sport,Action,american football,Bird view / Isometric,Atari,30,20,160,110,160,70,0,0,0,10,10,60,80,130,60
1978,1970,Baseball,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sc7k2n.jpg,Sport,,,Bird view / Isometric,Magnavox,20,80,10,70,100,50,100,140,110,50,100,90,0,80,0
1978,1970,Baseball,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sc7k2p.jpg,Sport,,,Bird view / Isometric,Magnavox,110,150,110,50,100,40,100,110,80,50,100,90,0,80,0
1978,1970,Baseball,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sc7k2o.jpg,Sport,,,Bird view / Isometric,Magnavox,40,100,90,110,140,100,30,90,20,70,100,50,0,80,0
1978,1970,Football,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sc10fr3.jpg,Sport,,american football,Bird view / Isometric,Dave Nutting Associates|Dave Nutting Associates,0,210,0,0,0,250,110,150,250,100,120,150,40,190,70
1978,1970,Football,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sc10fr4.jpg,Sport,,american football,Bird view / Isometric,Dave Nutting Associates|Dave Nutting Associates,0,210,0,0,0,250,110,150,250,100,110,150,40,190,70
1978,1970,Football,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sc10fr5.jpg,Sport,,american football,Bird view / Isometric,Dave Nutting Associates|Dave Nutting Associates,160,160,250,210,40,10,260,260,260,200,200,240,,,
1978,1970,Football,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sc10fr2.jpg,Sport,,american football,Bird view / Isometric,Dave Nutting Associates|Dave Nutting Associates,100,100,150,0,210,0,0,0,250,110,150,250,40,190,80
1978,1970,Fire Truck,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\scaoje.jpg,Racing|Arcade,,,Bird view / Isometric,Atari,70,70,70,130,130,130,0,0,0,200,200,200,,,
1978,1970,Fire Truck,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\scaojf.jpg,Racing|Arcade,,,Bird view / Isometric,Atari,100,100,100,70,70,70,0,0,0,170,170,170,,,
1978,1970,Fire Truck,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\scaojg.jpg,Racing|Arcade,,,Bird view / Isometric,Atari,260,260,260,0,0,0,80,80,80,160,160,160,210,210,210
1978,1970,Elementary math / Bingo Math,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\scoobu.jpg,Arcade,Educational,,Text,Dave Nutting Associates,20,70,190,260,260,260,180,50,60,0,0,0,180,160,180
1978,1970,Elementary math / Bingo Math,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\scoobv.jpg,Arcade,Educational,,Text,Dave Nutting Associates,110,120,160,60,60,60,260,260,260,220,190,190,170,180,200
1978,1970,Elementary math / Bingo Math,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\scoobw.jpg,Arcade,Educational,,Text,Dave Nutting Associates,30,80,140,50,90,80,0,0,0,20,30,60,50,20,20
1978,1970,Red Baron / Panzer Attack,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\scds2h.jpg,Shooter|Arcade,Action,,Bird view / Isometric,Dave Nutting Associates,20,80,20,0,0,0,200,30,0,120,170,220,40,240,0
1978,1970,Red Baron / Panzer Attack,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\scds2i.jpg,Shooter|Arcade,Action,,Bird view / Isometric,Dave Nutting Associates,20,80,20,0,0,0,200,30,0,120,160,220,40,240,0
