Year,Decade,Game,Screenshot,Genres,Themes,Keywords,Player Perspectives,Developers,C1_R,C1_G,C1_B,C2_R,C2_G,C2_B,C3_R,C3_G,C3_B,C4_R,C4_G,C4_B,C5_R,C5_G,C5_B
1952,1950,OXO,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sc5s18.jpg,Puzzle|Strategy,Educational,baseball|pinball|abstract|developed by one person,Side view,"Alexander Shafto ""Sandy"" Douglas|University of Warwick",0,0,0,50,50,50,70,70,70,100,100,100,150,150,150
1952,1950,OXO,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sccq9q.jpg,Puzzle|Strategy,Educational,baseball|pinball|abstract|developed by one person,Side view,"Alexander Shafto ""Sandy"" Douglas|University of Warwick",130,130,130,260,260,260,0,0,0,70,70,70,190,190,190
1952,1950,OXO,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sccq9r.jpg,Puzzle|Strategy,Educational,baseball|pinball|abstract|developed by one person,Side view,"Alexander Shafto ""Sandy"" Douglas|University of Warwick",130,130,130,260,260,260,0,0,0,70,70,70,190,190,190
1952,1950,Draughts,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\schxvv.jpg,Card & Board Game,,checkers,Bird view / Isometric,Christopher Strachey,100,100,100,40,40,40,0,0,0,260,260,260,,,
1954,1950,Pool,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\scky4m.jpg,Sport,,pool|billiards,Bird view / Isometric,,170,170,170,260,260,260,0,0,0,110,110,110,60,60,60
1954,1950,Pool,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\scky4k.jpg,Sport,,pool|billiards,Bird view / Isometric,,260,260,260,0,0,0,90,90,90,160,160,160,60,60,60
1954,1950,Pool,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\scky4l.jpg,Sport,,pool|billiards,Bird view / Isometric,,260,260,260,0,0,0,50,50,50,100,100,100,150,150,150
1958,1950,Tennis for Two,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sc6v14.jpg,Sport|Arcade,Action,tennis|developed by one person|single-screen level|no hud|never-ending,Side view,William Higinbotham,160,140,130,0,0,0,100,90,90,70,60,60,110,140,160
1958,1950,Tennis for Two,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sc6v13.jpg,Sport|Arcade,Action,tennis|developed by one person|single-screen level|no hud|never-ending,Side view,William Higinbotham,0,0,0,180,180,160,100,100,100,140,140,120,60,60,60
1958,1950,Tennis for Two,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sc6v15.jpg,Sport|Arcade,Action,tennis|developed by one person|single-screen level|no hud|never-ending,Side view,William Higinbotham,130,130,130,200,200,200,0,0,0,50,50,50,80,80,80
1962,1960,Spacewar!,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sc6v18.jpg,Shooter|Simulator,Action|Science fiction,vehicular combat|gravity|death|spaceship|war|vehicle combat|single-screen level|duel,Bird view / Isometric,"Steve Russel|Computer Recreations, Inc.",80,100,130,40,50,60,0,0,0,60,80,90,,,
1962,1960,Spacewar!,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sc6v16.jpg,Shooter|Simulator,Action|Science fiction,vehicular combat|gravity|death|spaceship|war|vehicle combat|single-screen level|duel,Bird view / Isometric,"Steve Russel|Computer Recreations, Inc.",40,40,40,0,0,0,60,60,60,90,90,90,,,
1962,1960,Spacewar!,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sc6v17.jpg,Shooter|Simulator,Action|Science fiction,vehicular combat|gravity|death|spaceship|war|vehicle combat|single-screen level|duel,Bird view / Isometric,"Steve Russel|Computer Recreations, Inc.",0,0,0,60,70,80,90,110,130,70,90,100,,,
1964,1960,The Sumerian Game,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\scng4u.jpg,Strategy,Historical,god game|resource management|prehistoric|city builder|developed by one person|based on - true story|ibm 7090,Text,Mabel Addis,220,220,220,200,200,200,260,260,260,170,170,170,,,
1965,1960,Dartmouth Championship Football,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sc100hf.jpg,Simulator|Sport,,american football|nfl,Text,,40,40,40,0,0,0,80,80,80,60,60,60,,,
1965,1960,Dartmouth Championship Football,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sc100hg.jpg,Simulator|Sport,,american football|nfl,Text,,70,70,70,40,40,40,0,0,0,60,60,60,,,
1965,1960,Dartmouth Championship Football,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sc100hh.jpg,Simulator|Sport,,american football|nfl,Text,,70,70,70,50,50,50,0,0,0,40,40,40,,,
1967,1960,Batnum,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sc11jsq.jpg,Puzzle,Non-fiction,numbers,Text,,240,240,110,250,250,0,260,260,260,80,80,80,,,
1967,1960,Batnum,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sc11jsp.jpg,Puzzle,Non-fiction,numbers,Text,,240,240,110,250,250,0,260,260,260,80,80,80,,,
1967,1960,PDP 10 Timesharing Basketball,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sc11lss.jpg,Sport,Non-fiction,basketball|text-based,Text,,40,40,40,0,0,0,60,60,60,,,,,,
1967,1960,PDP 10 Timesharing Basketball,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sc11lst.jpg,Sport,Non-fiction,basketball|text-based,Text,,40,40,40,0,0,0,60,60,60,,,,,,
1968,1960,Civil War,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\scndrd.jpg,Strategy|Turn-based strategy (TBS),Historical,civil war|american|southern american themes|american history,Text,,40,70,0,30,50,0,0,0,0,60,90,0,,,
1968,1960,Qubic,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sc11lid.jpg,Card & Board Game,Non-fiction,based on - board game|text-based,Text,,40,40,40,0,0,0,60,60,60,,,,,,
1968,1960,Qubic,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sc11lie.jpg,Card & Board Game,Non-fiction,based on - board game|text-based,Text,,40,40,40,0,0,0,60,60,60,,,,,,
1969,1960,Lunar Lander,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\dug59uwytr5wl08pdo7i.jpg,Simulator,Historical|Non-fiction,space simulation|space|american history,Text,Jim Storer,40,40,40,0,0,0,60,60,60,90,90,90,,,
1969,1960,Lunar Lander,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\scbsh7.jpg,Simulator,Historical|Non-fiction,space simulation|space|american history,Text,Jim Storer,70,70,70,40,40,40,0,0,0,80,80,80,,,
1969,1960,Space Travel,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sco2z6.jpg,Simulator,Science fiction,space simulation|space|space travel,Bird view / Isometric,,160,160,160,40,40,40,0,0,0,90,90,90,,,
1969,1960,Table Tennis,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\scnucn.jpg,Sport|Arcade,,tennis|table tennis|local multiplayer|paddle input,Bird view / Isometric,Magnavox,260,260,260,0,0,0,80,90,90,50,50,50,120,130,140
1969,1960,Table Tennis,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\scnuco.jpg,Sport|Arcade,,tennis|table tennis|local multiplayer|paddle input,Bird view / Isometric,Magnavox,130,130,130,200,200,200,260,260,260,0,0,0,70,70,70
1970,1970,Highnoon,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sc7kp9.jpg,,Action,western|text adventure,Text,Chris Gaylo,160,190,150,200,220,190,260,260,260,210,250,200,,,
1970,1970,Game of Life,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\i7xl1z3fl2dnbjww2opy.jpg,Simulator|Indie,,creative|math|math games|developed by one person,Bird view / Isometric,John Horton Conway,260,260,260,180,180,180,200,200,200,210,210,210,,,
1970,1970,Game of Life,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\mgnkxpe5fkccxazn972a.jpg,Simulator|Indie,,creative|math|math games|developed by one person,Bird view / Isometric,John Horton Conway,260,260,260,100,100,100,180,180,180,200,200,200,,,
1970,1970,Game of Life,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\mnbzkqdbiejumbuibzlo.jpg,Simulator|Indie,,creative|math|math games|developed by one person,Bird view / Isometric,John Horton Conway,260,260,260,200,200,200,180,180,180,50,50,50,120,120,120
1970,1970,Game of Life,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\pkyncqz5ph1enu0kjad2.jpg,Simulator|Indie,,creative|math|math games|developed by one person,Bird view / Isometric,John Horton Conway,260,260,260,100,100,100,180,180,180,200,200,200,,,
1970,1970,Game of Life,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\pt3l1rlfqsm16uxf4cu6.jpg,Simulator|Indie,,creative|math|math games|developed by one person,Bird view / Isometric,John Horton Conway,260,260,260,180,180,180,200,200,200,210,210,210,,,
1971,1970,Computer Space,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\ijtjwwpfttqqustksrgx.jpg,Shooter|Arcade,Science fiction,death|ufo|spaceship|time limit|artificial intelligence|single-player only|single-screen level|infinite ammo|wraparound world,Side view,Atari,100,100,100,40,40,40,0,0,0,70,70,70,,,
1971,1970,The Oregon Trail,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\scv9o4.jpg,Simulator|Strategy|Adventure,Historical|Educational,western|hunting|exploration|disease|death|horse|management|edutainment|based on - book|pixel art|high score|character select screen|shopping|realism|merchants|linear gameplay|meme origin|random encounter,Text,MECC,70,70,70,50,50,50,0,0,0,100,100,100,,,
1971,1970,Galaxy Game,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\vvjvaguq1fnqrqysxmb7.jpg,Shooter,Science fiction,space combat|spaceship|space battles,Bird view / Isometric,"Computer Recreations, Inc.",0,0,0,60,110,60,160,210,150,30,60,40,,,
1971,1970,Star Trek,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\v5mnvubblilwfvt2y1h5.jpg,Strategy|Turn-based strategy (TBS),Science fiction,space simulation|space combat|turn-based|ascii|spaceship|space warfare|space exploration|space battles,Text,Mike Mayfield,50,50,50,0,0,0,60,60,60,,,,,,
1971,1970,Freeway Crossing Program,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\scxqld.jpg,Simulator,,psychology,Bird view / Isometric,Michael Irrgang,40,80,50,40,40,40,70,70,60,20,160,70,30,120,60
1972,1970,Pong,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\addqqwix9t6wx9dxipwy.jpg,Simulator|Sport|Arcade,Action,tennis|table tennis|classic|single-screen level|player vs player|no dialogue|never-ending|plagiarism|available on - antstream|kaios,Bird view / Isometric,Atari,70,70,70,0,0,0,140,140,140,,,,,,
1972,1970,Pong,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\scpunv.jpg,Simulator|Sport|Arcade,Action,tennis|table tennis|classic|single-screen level|player vs player|no dialogue|never-ending|plagiarism|available on - antstream|kaios,Bird view / Isometric,Atari,80,110,120,0,0,0,20,30,40,50,80,90,20,40,50
1972,1970,Pong,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\scpunx.jpg,Simulator|Sport|Arcade,Action,tennis|table tennis|classic|single-screen level|player vs player|no dialogue|never-ending|plagiarism|available on - antstream|kaios,Bird view / Isometric,Atari,160,160,160,100,100,100,0,0,0,140,140,140,,,
1972,1970,Pong,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\scpunw.jpg,Simulator|Sport|Arcade,Action,tennis|table tennis|classic|single-screen level|player vs player|no dialogue|never-ending|plagiarism|available on - antstream|kaios,Bird view / Isometric,Atari,0,0,0,140,140,140,80,80,80,210,210,210,,,
1972,1970,Baseball,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sc7k2r.jpg,Sport,Action,baseball|dice|playing cards|screen overlay,Bird view / Isometric,Magnavox,250,220,10,200,30,10,150,110,20,60,160,40,10,0,80
1972,1970,Baseball,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sc7k2q.jpg,Sport,Action,baseball|dice|playing cards|screen overlay,Bird view / Isometric,Magnavox,0,0,80,200,120,0,60,160,40,120,100,30,130,140,130
1972,1970,Baseball,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sc7k2s.jpg,Sport,Action,baseball|dice|playing cards|screen overlay,Bird view / Isometric,Magnavox,210,30,10,60,160,40,180,140,0,10,0,80,140,140,120
1972,1970,Analogic,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sc78a9.jpg,Puzzle,,math|screen overlay,Auditory,Magnavox,120,60,70,210,200,180,110,110,120,150,150,160,130,130,140
1972,1970,Haunted House,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\scphxj.jpg,Adventure,Horror,screen overlay,,Magnavox,20,20,50,0,0,0,50,40,100,40,30,80,60,50,120
1972,1970,Percepts,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\upuilswvwwgfocvvqsc7.jpg,,,,,Magnavox,200,150,150,210,200,200,260,260,260,80,60,70,,,
1972,1970,Percepts,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\euo84qa3ngushuwxxm12.jpg,,,,,Magnavox,200,200,200,260,260,260,210,210,210,,,,,,
1972,1970,Shooting Gallery,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\scmlub.jpg,Shooter,Action,compilation|prehistoric|screen overlay,First person,Magnavox,260,260,260,220,210,200,50,50,50,90,90,90,150,150,150
1972,1970,Play Ball,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\hao54gcdsv5zzykpylvx.jpg,Sport,Action,baseball,,Gremlin Industries,220,210,40,190,130,120,220,30,20,230,210,190,50,90,130
1972,1970,Play Ball,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\wty3mj9hqeduwgvybs9t.jpg,Sport,Action,baseball,,Gremlin Industries,170,170,150,0,0,0,220,210,210,200,180,50,110,100,80
1972,1970,Play Ball,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\qnqurg27sfihjwvtloiq.jpg,Sport,Action,baseball,,Gremlin Industries,210,200,200,260,260,260,150,120,90,120,80,60,170,160,140
1972,1970,Wipeout,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\scxpx9.jpg,Racing|Arcade|Card & Board Game,,,Bird view / Isometric,Magnavox,160,70,60,190,50,40,110,60,40,110,110,110,40,40,70
1973,1970,Gotcha,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\h9k1jsp7cdi4snfngbmw.jpg,Puzzle|Strategy|Arcade,Action,maze|declarative title|controversy,Bird view / Isometric,Atari,120,120,120,0,0,0,200,200,200,80,80,80,,,
1973,1970,Moonlander,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\scnfua.jpg,Simulator,Historical|Non-fiction,space simulation|space|based on - true story|american history|lunar landing,Side view,Jack Burness,30,60,30,0,0,0,20,40,20,,,,,,
1973,1970,Moonlander,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\scnfub.jpg,Simulator,Historical|Non-fiction,space simulation|space|based on - true story|american history|lunar landing,Side view,Jack Burness,30,60,30,0,0,0,20,40,20,,,,,,
1973,1970,Moonlander,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\scnfuc.jpg,Simulator,Historical|Non-fiction,space simulation|space|based on - true story|american history|lunar landing,Side view,Jack Burness,150,150,140,0,0,0,50,90,40,120,120,100,10,40,20
1973,1970,Lemonade Stand,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\d4zqr5tst8cxqj3ish0m.jpg,Simulator,Business|Educational|Kids,tycoon|management|business simulation|supply and demand,Text,MECC,160,90,0,160,240,10,0,160,0,0,0,0,0,0,80
1973,1970,Lemonade Stand,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\tnlde1y4vkxt1gllokkm.jpg,Simulator,Business|Educational|Kids,tycoon|management|business simulation|supply and demand,Text,MECC,40,40,40,0,0,0,60,60,60,90,90,90,,,
1973,1970,Space Race,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\scp3ql.jpg,Racing|Arcade,Science fiction,,Side view,Atari,50,50,50,0,0,0,110,110,110,200,200,200,,,
1973,1970,Trek73,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\yy8sjdztiv5tuvikdoev.jpg,Simulator,Science fiction,,Text,,40,40,40,70,70,70,0,0,0,,,,,,
1973,1970,Pong Doubles,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\scwa2i.jpg,Sport|Arcade,,table tennis|simulation|single-screen level,Side view,Atari,120,120,120,0,0,0,50,50,50,90,90,90,,,
1973,1970,Basketball (1973),c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sc83zi.jpg,Sport|Arcade,Action,basketball,Bird view / Isometric,Magnavox,0,0,0,230,130,100,170,170,200,220,220,220,140,130,130
1973,1970,Hockey,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\jrazsvf27c9lj1fgaglh.jpg,Arcade,Action,ice hockey,Bird view / Isometric,RamTeK,260,260,260,180,180,180,40,40,40,70,70,70,110,110,110
1973,1970,Laser Clay Shooting System,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\scrmap.jpg,Shooter|Arcade,Action,light gun,,Nintendo,120,150,170,0,0,0,200,230,230,180,80,40,90,90,90
1973,1970,Laser Clay Shooting System,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\scrmaq.jpg,Shooter|Arcade,Action,light gun,,Nintendo,230,140,60,260,260,260,90,130,130,0,0,0,160,40,30
1974,1970,Tank,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\ogwxn1c0ag7nfruk28by.jpg,Arcade,Action,tank|tank combat|tank controls|tank game,Bird view / Isometric,Kee Games,260,260,260,200,200,200,0,0,0,70,70,70,140,140,140
1974,1970,Gran Trak 10,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\scphxq.jpg,Racing|Arcade,Action,race cars,Bird view / Isometric,Atari,80,90,90,40,40,40,0,0,0,140,170,170,,,
1974,1970,Qwak!,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\scnfhn.jpg,Shooter|Arcade,Action,single-screen level,First person,Atari,130,130,130,210,200,200,260,260,260,180,180,180,80,80,80
1974,1970,Qwak!,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\scnfho.jpg,Shooter|Arcade,Action,single-screen level,First person,Atari,0,0,0,40,40,20,80,150,170,120,90,60,50,80,80
1974,1970,Star Trader,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\ch2fsctzm5fmbn9gacwt.jpg,Simulator,Science fiction|Business,,Text,People's Computer Company,70,70,70,40,40,40,0,0,0,90,90,90,,,
1974,1970,Rebound,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sc5j39.jpg,Sport|Arcade,Action,volleyball,Side view,Atari,100,100,100,220,220,220,0,0,0,160,160,160,,,
1974,1970,TV Basketball,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\vnqpei80chldn4jzj9lp.jpg,Sport,Action,basketball|gravity|time limit|countdown timer|human|4 player co-op|single-screen level|player vs player|no dialogue|power forward|male protagonist,Side view,Taito,260,260,260,180,180,180,140,140,140,80,80,80,100,100,100
1974,1970,TV Basketball,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\jpn59st68nmh1qqqhohi.jpg,Sport,Action,basketball|gravity|time limit|countdown timer|human|4 player co-op|single-screen level|player vs player|no dialogue|power forward|male protagonist,Side view,Taito,170,130,60,20,120,150,140,220,70,120,140,60,20,170,50
1974,1970,Pin Pong,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\scnfbr.jpg,Simulator|Pinball|Arcade,,,Bird view / Isometric,Atari,0,0,0,90,90,90,120,120,120,150,150,150,60,60,60
1974,1970,Pin Pong,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\scnfbs.jpg,Simulator|Pinball|Arcade,,,Bird view / Isometric,Atari,260,260,260,50,50,50,110,110,110,160,160,160,210,210,210
1974,1970,Clean Sweep,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\rhioo0oqowyx8dlqbnin.jpg,Arcade,Action,,Side view,RamTeK,20,100,80,0,0,0,10,60,50,10,200,160,,,
1974,1970,Wipe Out,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\scq2k3.jpg,Arcade,Action,,Bird view / Isometric,RamTeK,260,260,260,0,0,0,50,50,50,140,140,140,90,90,90
1974,1970,Super Pong,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\scwa2j.jpg,Sport|Arcade,Action,table tennis|simulation|single-screen level,,Atari,70,70,70,100,100,100,0,0,0,40,40,40,,,
1974,1970,Airfight,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\scr4ay.jpg,Simulator,,flight simulator|flight|airplane,,,80,50,20,60,40,20,0,0,0,40,30,20,,,
1974,1970,Quadrapong,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\scq2jo.jpg,Sport|Arcade,Action,table tennis|single-screen level,Bird view / Isometric,Kee Games,100,100,100,0,0,0,50,50,50,80,80,80,160,160,160
1974,1970,Wander,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sco2xw.jpg,Adventure|Indie,Fantasy,interactive fiction|developed by one person|text adventure,Text,Peter Langston,10,70,10,0,0,0,210,210,210,,,,,,
1974,1970,Wander,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sco2xx.jpg,Adventure|Indie,Fantasy,interactive fiction|developed by one person|text adventure,Text,Peter Langston,40,40,40,0,0,0,80,80,80,60,60,60,,,
1974,1970,Wander,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sco2xy.jpg,Adventure|Indie,Fantasy,interactive fiction|developed by one person|text adventure,Text,Peter Langston,40,40,40,0,0,0,60,60,60,,,,,,
1974,1970,Wander,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sco2xz.jpg,Adventure|Indie,Fantasy,interactive fiction|developed by one person|text adventure,Text,Peter Langston,50,50,50,70,70,70,0,0,0,,,,,,
1974,1970,World Cup Football,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\scq2jq.jpg,Sport|Arcade,Action,,Bird view / Isometric,(Archive) Atari Inc.,170,170,170,260,260,260,0,0,0,140,140,140,90,90,90
1974,1970,Wheels,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\scwmsu.jpg,Racing|Arcade,Action,,Bird view / Isometric,Taito,200,240,250,150,190,220,30,150,170,130,170,200,70,150,160
1974,1970,Spike,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\scq2jh.jpg,Arcade,Action,,Side view,Kee Games,70,70,70,0,0,0,160,160,160,110,110,110,,,
1974,1970,Touch Me,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sctdo8.jpg,Arcade,,,First person,Atari,0,0,0,140,130,70,200,170,90,70,70,60,250,220,140
1974,1970,Touch Me,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sctdo9.jpg,Arcade,,,First person,Atari,130,120,80,0,0,0,220,200,120,50,50,50,100,120,150
1974,1970,TV Pingame,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\scnfbn.jpg,Pinball|Arcade,,breakout,Bird view / Isometric,Exidy|Chicago Coin|Midway Manufacturing,180,180,180,0,0,0,140,140,140,70,40,50,210,210,210
1974,1970,TV Pingame,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\scnfbo.jpg,Pinball|Arcade,,breakout,Bird view / Isometric,Exidy|Chicago Coin|Midway Manufacturing,250,220,180,70,40,40,200,110,70,240,180,100,150,60,50
