Year,Game,Screenshot,Palette
2025,Defiance,screenshots\xizgs7rxvjizwz0tngnr.jpg,"[(78, 59, 34), (217, 164, 102), (146, 104, 47), (18, 15, 8), (119, 111, 55), (186, 62, 30), (164, 166, 105), (154, 150, 150), (99, 96, 94)]"
2025,Defiance,screenshots\wnedkimdvrehe4jxbqot.jpg,"[(49, 42, 39), (155, 142, 229), (151, 125, 103), (209, 172, 159), (120, 98, 80), (95, 69, 137), (176, 182, 211), (126, 127, 119), (72, 38, 178)]"
2025,Defiance,screenshots\sn03gocnvcjjlra1gmwu.jpg,"[(142, 169, 214), (44, 50, 51), (175, 199, 235), (144, 138, 131), (109, 100, 88), (206, 215, 230), (92, 104, 143), (117, 135, 159), (68, 100, 220)]"
2025,Defiance,screenshots\x9u8ludhrhuddsim6ggw.jpg,"[(20, 24, 21), (185, 158, 69), (68, 97, 99), (107, 95, 52), (68, 66, 40), (60, 83, 92), (46, 69, 67), (75, 157, 104), (106, 136, 156)]"
2025,Azrael's Tear,screenshots\sc6eb3.jpg,"[(163, 152, 128), (92, 82, 68), (9, 8, 6), (128, 135, 119), (54, 43, 32), (66, 69, 60), (119, 123, 132), (60, 59, 68), (140, 76, 4)]"
2025,Azrael's Tear,screenshots\sc6eb1.jpg,"[(159, 146, 120), (7, 6, 5), (88, 82, 68), (118, 127, 108), (44, 41, 34), (57, 58, 60), (59, 69, 62), (124, 116, 116), (132, 68, 4)]"
2025,Azrael's Tear,screenshots\sc6eb2.jpg,"[(163, 151, 127), (98, 90, 68), (9, 8, 6), (128, 134, 111), (54, 46, 30), (65, 71, 49), (132, 124, 124), (140, 52, 4), (64, 60, 68)]"
2025,The Simpsons: Tapped Out,screenshots\kduzetapscc0ssvzmqnd.jpg,"[(217, 198, 182), (101, 154, 99), (33, 27, 23), (145, 176, 197), (161, 135, 123), (116, 99, 32), (32, 108, 68), (202, 56, 49), (132, 220, 73)]"
2025,The Simpsons: Tapped Out,screenshots\sccox7.jpg,"[(85, 117, 63), (188, 188, 185), (107, 186, 215), (28, 105, 58), (113, 190, 110), (133, 152, 144), (155, 136, 87), (69, 56, 22), (172, 84, 172)]"
2025,The Simpsons: Tapped Out,screenshots\sccox8.jpg,"[(38, 74, 56), (200, 158, 105), (103, 57, 39), (106, 102, 74), (209, 214, 210), (152, 96, 69), (155, 102, 32), (243, 224, 84), (51, 174, 166)]"
2025,The Simpsons: Tapped Out,screenshots\sccox9.jpg,"[(215, 228, 231), (48, 102, 70), (99, 152, 146), (113, 69, 63), (109, 134, 60), (150, 139, 111), (149, 145, 155), (143, 177, 172), (60, 180, 98)]"
